Category,Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
Laptops,"Apple MacBook Pro 13"" 2017 2.3GHz Core i5 8GB RAM 128GB SSD Gray- Very Good",$276.99,8 GB,Intel Core i5 7th Gen.,A1708,Apple,N/A,13.3 in,128 GB,2025-01-28 17:13:20
Laptops,"Apple MacBook Air (13"" Mid 2013) Core i5 1.30GHz 4GB RAM 128GB SSD macOS Big Sur",$119.99,4 GB,Intel Core i5 3rd Gen.,MacBook Air,Apple,N/A,13.3 in,128 GB,2025-01-28 17:16:38
Laptops,"MACBOOK AIR LAPTOP 13' 8GB, 128SSD, BIG SUR, WEBCAM ,WIFI, BLUETOOTH",$350.00/ea,N/A,N/A,N/A,Refurbished Laptops for Sale,N/A,N/A,N/A,2025-01-28 17:13:19
Laptops,MacBook Pro 13 2020 Intel i7 16GB 512GB 2.3 GHz Touch Bar Space Gray Very Good,$479.99,16 GB,Intel Core i7 10th Gen.,MacBook Pro,Apple,N/A,13.3 in.,512 GB,2025-01-28 17:16:31
Laptops,Apple MacBook Pro 14in -  M1 Pro 10C CPU 16C GPU - 16GB RAM 1TB - Space Gray,$750.00,16 GB,Apple M1 Pro,MacBook Pro,Apple,N/A,14 in,1 TB,2025-01-28 17:14:50
Laptops,"Apple Macbook 12"" Core M3 1.1GHz 8GB RAM, 256GB SSD (2017)",US $249.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:15:13
Laptops,"Apple MacBook Air MWTL2LL/A 13.3"" Intel Core i3 8gb MEM 256gb SSD Gold",$379.99,8 GB,Intel Core i3 10th Gen.,N/A,Apple,N/A,13 in,256 GB,2025-01-28 17:16:42
Laptops,"Apple MacBook Air 13in (512GB SSD, M1, 8GB) Laptop - Silver",$599.99,8 GB,Apple M1,MacBook Air,Apple,N/A,13 in,512 GB,2025-01-28 17:18:24
Laptops,"Apple MacBook Air Core i5 1.4GHz 8GB RAM 128GB SSD 13"" MD760LL/B (2014) - Good",$169.97,8 GB,Intel Core i5,Apple MacBook Air,Apple,N/A,13.3 in,128 GB,2025-01-28 17:14:47
Laptops,"Apple MacBook Pro 13""  Core i5 3.1GHz 8GB RAM 256GB SSD - Very Good",$389.99,8 GB,Intel Core i5,MacBook Pro,Apple,N/A,13 in,256 GB,2025-01-28 17:16:37
Laptops,"Apple MacBook Pro 15.4"" 512GB SSD Intel Core i7 4th Gen 2.8GHz 16GB RAM, Good",$256.99,16 GB,Intel Core i7,Apple MacBook Pro,Apple,N/A,15 in,512 GB,2025-01-28 17:14:49
Laptops,"Apple Macbook Pro Mid 2019 Touchbar 13"" A1989 I5 2.4GHz 16GBb 256GB SSD Silver",$320.00,16 GB,Intel Core i5 8th Gen.,A1989,Apple,N/A,13.3 in,256 GB,2025-01-28 17:14:06
