Title,Price,Case Size,Battery Capacity,Brand,Model,Operating System,Storage Capacity,Collection Date
"boAt Lunar Fit with 1.43"" AMOLED Display, BT Calling & ...",27.4875,45,,Unknown,"Lunar Fit with 1.43"" AMOLED Display, BT Calling & Multiple Sports Modes",iOS 9 and Above | Android 6 and Above,32,1/29/2025 2:25
"Fire-Boltt Horizon 51.8mm (1.96"") AMOLED Display, Wirel...",24.9875,51.8,,Unknown,"Horizon 51.8mm (1.96"") AMOLED Display, Wireless Charging, 100+ sports modes.",Android and ios,32,1/29/2025 2:25
"OnePlus Watch 2R with Wear OS 4, Snapdragon W5 Chipset ...",224.9875,45,,Unknown,"Watch 2R with Wear OS 4, Snapdragon W5 Chipset & Upto 100 hours battery life",Wear OS4 + RTOS,32,1/29/2025 2:25
"CMF by Nothing Watch Pro 2, 1.32"" AMOLED, auto-brightne...",56.2375,45,,Unknown,"Watch Pro 2, 1.32"" AMOLED, auto-brightness,Gesture Control, 3D warmup guide,GPS",Android and ios,32,1/29/2025 2:25
Data not available,28.7375,45,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android and ios,32,1/29/2025 2:25
Data not available,17.4875,45,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android and ios,32,1/29/2025 2:26
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...",13.7375,45,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android and ios,32,1/29/2025 2:26
Yash Enterprises T800 ULTRA Smart Watch No sim card Ope...,9.375,45,,Yash Enterprises,T800 ULTRA Smart Watch No sim card Opetion Smartwatch NO sim card,android,4,1/29/2025 2:26
"Noise Pro 5 1.85 AMOLED Always-on Display, DIY Watch fa...",37.4875,45,,Unknown,"Pro 5 1.85 AMOLED Always-on Display, DIY Watch face, SoS Technology, BT Calling",Android and ios,32,1/29/2025 2:26
SAMSUNG Watch6 Bluetooth,274.9875,45,,Samsung,Watch6 Bluetooth,Wear OS,16,1/29/2025 2:26
"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Z...",14.975,45,,Unknown,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Android and ios,32,1/29/2025 2:26
"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchface...",17.4875,45,,Unknown,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring",Android and ios,32,1/29/2025 2:26
"Noise Halo 2 1.43"" AMOLED, Rotating Axe-Cut Bezel, Stai...",64.675,45,,Unknown,"Halo 2 1.43"" AMOLED, Rotating Axe-Cut Bezel, Stainless Steel Build, BT Calling",Android and ios,32,1/29/2025 2:26
