Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
HP Book 650 G3 7200U,209.0,16.0,Unknown CPU,HP ProBook 650 G3,HP,Intel HD Graphics,15.6,512.0,2025-01-31 23:53:39
~OVERSTOCKDell Latitude G dows !,209.95,8.0,Core i5,Dell Latitude 7390,Dell,Intel HD Graphics,13.3,256.0,2025-01-31 23:53:26
~ FRIDAY SALEDell Latitude~ !,209.95,16.0,Core i5,Dell Latitude E5570,Dell,Intel HD Graphics,15.6,512.0,2025-01-31 23:53:23
Lenovo IdeaPad 1i 14( Storage i3 12th(82QC004BUS),209.99,8.0,Core i3,IdeaPad 1i,Lenovo,Intel UHD Graphics,14.0,256.0,2025-01-31 23:53:40
~BACKLIT 14Dell Latitude !,209.99,16.0,Core i5,Dell Latitude E7470,Dell,Intel HD Graphics,14.0,512.0,2025-01-31 23:53:55
HPX360 Fortis G10 With Power Adapter,209.99,8.0,Core i5,HP ProBook X360,HP,Intel UHD Graphics 615,11.0,128.0,2025-01-31 23:52:57
Dell Latitude 7390 8650u| 13 dows Z,209.99,16.0,Core i7,Dell Latitude 7390,Dell,Intel HD Graphics 620,13.0,256.0,2025-01-31 23:53:17
Acer full HD Aspire N4020eMMC/,209.99,16.0,Unknown CPU,Acer Aspire 1,Acer,Unknown Graphics,15.6,128.0,2025-01-31 23:53:18
HP 15HD Pentium Quad N200 Red,212.97,16.0,Unknown CPU,HP LAPTOP 15-FD,HP,Unknown Graphics,15.6,128.0,2025-01-31 23:54:04
HP 17zcp200 17.3HDAthlon7220U dows,213.0,16.0,Unknown CPU,HP 17zcp200 17.3HDAthlon7220U dows,,Unknown Graphics,14.0,512.0,2025-01-31 23:53:53
Dell Latitude E7470 14HD6600UHD -,218.98,16.0,Core i7,Dell Latitude E7470,Dell,Intel HD Graphics 520,14.0,512.0,2025-01-31 23:53:21
~CLEARANCEDell Latitude ~ dows 10!,219.79,16.0,Ryzen 5,~CLEARANCEDell Latitude ~ dows 10!,,Unknown Graphics,14.0,512.0,2025-01-31 23:52:53
14 Dell Latitude ~ dows 10!,219.95,16.0,Core i7,Dell Latitude 5480,Dell,Intel HD Graphics,14.0,512.0,2025-01-31 23:53:51
~LIMITED QUANTITYHP EliteBookdows 10,219.95,16.0,Core i5,HP Elitebook 850 G3,HP,Intel HD Graphics,15.6,512.0,2025-01-31 23:53:16
~CD/DVD DRIVELenovo inkPad !,219.95,16.0,Core i5,Lenovo Thinkpad T540p,Lenovo,Intel HD Graphics,15.6,1000.0,2025-01-31 23:55:15
CHUWI Book 14. i310110U,224.99,8.0,Core i3,CoreBook X,CHUWI,Intel Iris Plus Graphics 655,14.1,1000.0,2025-01-31 23:53:50
Dell Latitude 5400 HD 144dows,225.47,16.0,Core i5,Dell Latitude 5400,Dell,Intel UHD Graphics 620,14.0,256.0,2025-01-31 23:52:58
HP EliteBook 840 G6 NVMe 1920x10808365U,227.99,16.0,Core i5,HP EliteBook 840 G6,HP,Unknown Graphics,14.0,256.0,2025-01-31 23:53:43
2024 Lenovo IdeaPad cessor Upto,229.0,16.0,Unknown CPU,Lenovo IdeaPad 1i,Lenovo,Intel UHD Graphics,15.6,512.0,2025-01-31 23:53:39
Dell Precision dows 10!,229.95,16.0,Core i5,Dell Precision M4800,Dell,AMD FirePro M5100,15.6,512.0,2025-01-31 23:52:54
Dell Latitude E5570 7200RPM 10 Computer6300u,229.99,4.0,Core i5,Latitude E5570,Dell,Intel HD Graphics,15.6,512.0,2025-01-31 23:53:37
Microsoft Surface1867 1035G7M.dows,229.99,8.0,Core i5,1867,MICROSOFT,Intel Iris Plus Graphics,13.5,256.0,2025-01-31 23:53:54
Samsung Galaxy Book 4G LTE W737P 12dows 10 (TMobile,229.99,4.0,Unknown CPU,Samsung Galaxy Book 2,Samsung,Unknown Graphics,12.0,128.0,2025-01-31 23:54:05
HP14HD i315G4 dows,231.57,16.0,Core i5,HP14HD i315G4 dows,,Unknown Graphics,14.0,512.0,2025-01-31 23:53:02
CHUWI Book14.1''i3 Quad,233.99,8.0,Core i3,Chuwi Corebook X,Chuwi,Intel Iris Graphics 650,14.1,512.0,2025-01-31 23:52:56
Custom HP ZBook 14u G6 14 Mindows v.WCB,234.99,16.0,Core i7,HP ZBook 14u G6,HP,Unknown Graphics,14.0,512.0,2025-01-31 23:54:05
Lenovo inkPad T480s 148th NVME,237.99,16.0,Unknown CPU,Lenovo inkPad T480s 148th NVME,,Unknown Graphics,14.0,512.0,2025-01-31 23:53:49
14Dell Latitude dows 10!,238.95,16.0,Unknown CPU,Dell Latitude E5420,Dell,Intel HD Graphics,14.0,1000.0,2025-01-31 23:53:33
Dell 14 Quaddows,239.99,16.0,Unknown CPU,Dell 14 Quaddows,,Unknown Graphics,14.0,512.0,2025-01-31 23:53:49
Lenovo inkPaddows 10DVDRW!,239.99,16.0,Core i7,Lenovo ThinkPad E560,Lenovo,Intel HD Graphics,15.6,512.0,2025-01-31 23:53:53
Acer Swift SF31451135G7 14 IPS,240.94,8.0,Unknown CPU,SF314-511,Acer,Intel Iris Xe Graphics,14.0,512.0,2025-01-31 23:53:41
