Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
DellLatitude 7480 146300U16GBM2 CAM,215.55,16.0,Intel Core i5 6th Gen.,Dell Latitude 7480,Dell,Intel HD Graphics 620,14.0,512.0,1/29/2025 22:22
Dell Latitude E7470 14HD6600UHD -,218.98,16.0,Intel Core i7-6600U,Dell Latitude E7470,Dell,Intel HD Graphics 520,14.0,512.0,1/29/2025 22:23
Dell Latitude 5400 8265U,219.0,16.0,Intel Core i5 8th Gen.,Dell 5400,Dell,Intel UHD Graphics 620,14.0,512.0,1/29/2025 22:23
Dell ALIENWARE 13 R2 13QHDTouch 6500U GTX 960M,219.0,16.0,Intel Core i5 11th Gen.,Dell ALIENWARE 13 R2 13QHDTouch 6500U GTX 960M,,Unknown Graphics,14.0,512.0,1/29/2025 22:23
Lenovo inkPad T460 6600U1014 1920 1080,219.03,16.0,Intel Core i5-8250U,Lenovo inkPad T460 6600U1014 1920 1080,,Unknown Graphics,14.0,512.0,1/29/2025 22:23
~CLEARANCEDell Latitude ~ dows 10!,219.79,16.0,Intel Core i5 5th Gen.,Dell Latitude E5550,Dell,Intel HD Graphics,15.6,1000.0,1/29/2025 22:22
"2024 AEEZO ''ComputerQuad cessors,",221.99,12.0,Intel Celeron Quad-Core,"2024 AEEZO ''ComputerQuad cessors,",AEEZO,Intel UHD 520 Graphics,15.6,512.0,1/29/2025 22:23
HP i315G4 Spruce Blue dows,224.95,8.0,Intel Core i3-1115G4,15-dy2792wm,HP,Intel UHD Graphics,15.6,256.0,1/29/2025 22:23
HP EliteBook 2in dows 10 !,224.99,16.0,Intel Core i5 6th Gen.,HP Elitebook  X360 1030 G2,HP,Intel HD Graphics,13.3,256.0,1/29/2025 22:23
Dell Latitude 7310 Full HD dows,225.47,16.0,Intel Core i7-5600U,Dell Latitude 7310 Full HD dows,,Unknown Graphics,14.0,512.0,1/29/2025 22:23
HP EliteBook 840 G6 NVMe 1920x10808365U,227.99,16.0,Intel Core i5-8365U,HP EliteBook 840 G6,HP,Unknown Graphics,14.0,256.0,1/29/2025 22:22
HP EliteBook 840 G68365U14Touch P,227.99,16.0,Intel Core i7-1165G7,HP EliteBook 840 G68365U14Touch P,,Unknown Graphics,14.0,512.0,1/29/2025 22:23
Dell Vostro 340014HD thdows,228.86,16.0,Intel Core i5-7Y54,Dell Vostro 340014HD thdows,,Unknown Graphics,14.0,512.0,1/29/2025 22:22
HP Book dows 10 !,228.95,16.0,Intel Core i5 4th Gen.,HP Probook 650 G1,HP,Intel HD Graphics,15.6,1000.0,1/29/2025 22:23
HP 2024 est14HD4 Up to &Storage Blue,229.0,16.0,Intel Celeron N4120,HP Stream,HP,Intel UHD Graphics,14.0,320.0,1/29/2025 22:23
Dell Latitude 7490 7600U,229.12,16.0,i7-7600U,Dell Latitude 7490,Dell,Intel HD Graphics 620,14.0,500.0,1/29/2025 22:23
~CLEARANCELenovo inkPad ~ Storage,229.95,16.0,Intel Core i5 3rd Gen.,Lenovo ThinkPad Edge E530,Lenovo,Intel HD Graphics,15.6,512.0,1/29/2025 22:23
HP EliteBook ~ dows 10 !,229.99,16.0,Intel Core i5 6th Gen.,HP Elitebook 850 G4,HP,Intel HD Graphics,15.6,512.0,1/29/2025 22:22
14Lenovo inkpadTouch 6thdows!,229.99,8.0,Intel Core i7 6th Gen.,Lenovo ThinkPad X1 Yoga,Lenovo,Intel® HD Graphics 520,14.0,256.0,1/29/2025 22:23
HP1417.3Computer i3 Upto,229.99,16.0,Intel Core i3 i3-1215U,HP1417.3Computer i3 Upto,HP,Unknown Graphics,14.0,512.0,1/29/2025 22:22
Samsung Galaxy Book 4G LTE W737P 12dows 10 (TMobile,229.99,16.0,Intel Core i7-10510U,Samsung Galaxy Book 4G LTE W737P 12dows 10 (TMobile,,Unknown Graphics,14.0,512.0,1/29/2025 22:23
HP14HD i315G4 dows,231.57,16.0,Intel Core i3-1115G4,HP 14,HP,Intel UHD Graphics,14.0,512.0,1/29/2025 22:23
HP Certified HD1366 768( NSeries N10,234.13,16.0,Intel N-Series N100,A93VBUAR#ABA,HP,Unknown Graphics,15.6,512.0,1/29/2025 22:23
HP 255inch G107330U128 NVMe,234.99,8.0,AMD Ryzen 3 7330U,HP 255 15.6 inch G10 Notebook PC,HP,AMD Radeon Graphics,15.6,128.0,1/29/2025 22:23
CHUWI Book 13.5''dowsN5100 12GG,238.49,12.0,Intel Celeron N5100,Freebook,CHUWI,"Intel UHD Graphics, 350MHz-800MHz",13.5,512.0,1/29/2025 22:22
HP 17cn2083dx 17.3 IPS i31215U S,239.0,8.0,Intel i3-1215U,17-cn2083dx,HP,Intel UHD Graphics,17.3,256.0,1/29/2025 22:23
DellLatitude 7480 14Cam,239.99,16.0,i7 7th,Dell Latitude 7480,Dell,Unknown Graphics,14.0,500.0,1/29/2025 22:23
Lenovo inkPaddows 10DVDRW!,239.99,16.0,Intel Core i7 6th Gen.,Lenovo ThinkPad E560,Lenovo,Intel HD Graphics,15.6,512.0,1/29/2025 22:23
HP EliteBook 840 G6 8365U1614,246.99,16.0,Intel Core i5-8365U,HP EliteBook 840 G6,HP,Unknown Graphics,14.0,512.0,1/29/2025 22:23
Dell Latitude~ dows 10 !,247.99,16.0,Intel N-Series N100,Dell Latitude~ dows 10 !,,Unknown Graphics,14.0,512.0,1/29/2025 22:23
Dell Latitude~ dows 10 !,247.99,16.0,Intel Core i5 6th Gen.,Dell Latitude 3560,Dell,Intel HD Graphics,15.6,1000.0,1/29/2025 22:23
Dell Latitude 5410 14Businessdows,248.23,16.0,Intel Core i5-10210U,Dell Latitude 5410,Dell,Intel UHD Graphics,14.0,256.0,1/29/2025 22:23
Dell Latitude 14Quad dows,248.77,16.0,Intel Core i7 10th Gen.,Dell Latitude 14Quad dows,,Unknown Graphics,14.0,512.0,1/29/2025 22:23
Lenovo inkPad L560 6600U10,249.0,16.0,Intel Core i7-6600U,Lenovo L560,Lenovo,Unknown Graphics,15.6,512.0,1/29/2025 22:23
Fujitsu U74916G 14 TouchNMVe M.2x BATTERYS Great!,249.94,16.0,Intel Core i7-8565U,Fujitsu Lifebook U749,Fujitsu,Intel UHD Graphics 620,14.0,500.0,1/29/2025 22:23
Dell Latitude 7420 14 TOUCH65G7,249.99,16.0,Intel Core i7 11th Gen.,Dell Latitude 7420,Dell,Intel Iris Xe Graphics,14.0,256.0,1/29/2025 22:22
Dell Latitude 7400 14 8665UNVME,249.99,16.0,Intel Core i7 8th Gen.,Dell Latitude 7400,Dell,Intel UHD Graphics 620,14.0,256.0,1/29/2025 22:23
Dell Latitude 5410 1410310U IR,249.99,16.0,Intel Core i5-10310U,Dell Latitude 5410,Dell,Intel UHD Graphics,14.0,512.0,1/29/2025 22:22
HP100UNVMe14.0 H 14EP1063CL,255.99,16.0,Intel Core 7-150U,HP100UNVMe14.0 H 14EP1063CL,,Unknown Graphics,14.0,512.0,1/29/2025 22:22
Lenovo inkBook 13x G1 ITG QHDTOUCH30G7,255.99,16.0,Intel Core i7-8650U,Lenovo inkBook 13x G1 ITG QHDTOUCH30G7,,Unknown Graphics,14.0,512.0,1/29/2025 22:22
Acer Aspire Go 15 Slimi3N305HD AI,259.88,8.0,Intel Core i3-N305,Acer Aspire 3,Acer,Unknown Graphics,15.6,128.0,1/29/2025 22:22
HP ZBook Studio G4dows 10,259.99,16.0,Intel Core i7-7700HQ,HP ZBook Studio G4,HP,Intel HD Graphics 630,15.6,256.0,1/29/2025 22:23
