Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage
Lenovo IdeaPad Slim 312th12450H - (8 GB/512 GB /dows 11 Home) 15IAH8 in an...,644.875,8 GB,Core i5,15IAH8,Lenovo,Intel Integrated UHD,39.62 cm (15.6 Inch),512 GB
MSI Modern 1513th1355U - (8 GB/512 GB /dows 11 Home) Modern 15 B13M290IN ...,593.7375,8 GB,Core i7,Modern 15 B13M-290IN,MSI,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512 GB
MSI Modern 14 H13th13900H - (16 GB/1 TB /dows 11 Home) Modern 14 H D13MG071...,949.875,16 GB,Core i9,Modern 14 H D13MG-071IN,MSI,Intel Integrated Iris Xe,35.56 cm (14 inch),1 TB
"DELL Inspiron 15 3520 with Backlit ,12th- (16 GB/512 GB /dow...",614.875,16 GB,Core i5,Inspiron 3520,DELL,Intel Integrated Intel UHD Graphics,39.62 cm (15.6 inch),512 GB
ASUS TUFA15 5 Hexa7535HS - (8 GB/512 GB /dows 11 /4 GB /NVIDI...,674.875,8 GB,Ryzen 5 Hexa Core,FA506NF-HN578W,ASUS,NVIDIA GeForce RTX 2050,39.62 cm (15.6 Inch),512 GB
DELL MSO'2021 i3 12th1215U - (8 GB/512 GB /dows 11 Home)Inspiron 15...,424.75,8 GB,Core i3,Inspiron 3520,DELL,Intel Integrated UHD,39.37 cm (15.5 inch),512 GB
Acer Chromebook Plus Google AI i3 13th1315U - (8 GB/256 GB /Chrome OS) CB5152H34Y...,312.375,8 GB,Core i3,Chromebook Plus,Acer,Intel Integrated UHD,39.62 cm (15.6 Inch),256 GB
ASUS TUFF15 - AI Powered 11th11260H - (8 GB/512 GB /dows 11 Ho...,599.875,8 GB,Core i5,Gaming F15,ASUS,NVIDIA GeForce RTX 2050,39.62 cm (15.6 Inch),512 GB
Acer Aspire 3 Backlit12th1235U - (16 GB/512 GB /dows 11 Home) A32451 in a...,562.375,16 GB,Core i5,A324-51,Acer,Intel Integrated Intel Graphics,35.56 cm (14 Inch),512 GB
MSI Modern 1413th1335U - (8 GB/512 GB /dows 11 Home) Modern 14 C13M437IN ...,537.375,8 GB,Core i5,Modern 14 C13M-437IN,MSI,Intel Integrated Iris Xe,35.56 cm (14 Inch),512 GB
DELL Latitude 3540 (2024) i3 12th1215U - (16 GB/512 GB /dows 11 ) Latitude 35...,418.625,16 GB,Core i3,Latitude 3540,DELL,Intel Integrated UHD Graphics,39.62 cm (15.6 inch),512 GB
ZEBRONICSSeries Z12th1235U - (8 GB/512 GB /dows 11 Home) ZEBNBC 4S i...,374.875,8 GB,Core i5,ZEB-NBC 4S,ZEBRONICS,Intel Integrated UHD,39.62 cm (15.6 inch),512 GB
ASUS Vivobook Go 15 OLED 5 Quad7520U - (16 GB/512 GB /dows 11 Home) E1504FALK54...,624.875,16 GB,Ryzen 5 Quad Core,E1504FA-LK541WS,ASUS,AMD Radeon AMD,39.62 cm (15.6 Inch),512 GB
ASUS Vivobook S 1513th13900H - (16 GB/512 GB /dows 11 Home) K5504VABBN417WS...,924.875,16 GB,Core i9,K5504VAB-BN417WS,ASUS,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512 GB
SAMSUNG Galaxy Book4 Metal i3 13th1315U - (8 GB/512 GB /dows 11 Home) NP750XGJL...,474.875,8 GB,Core i3,NP750XGJ-LG4IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512 GB
HPAthlon Dual3050U - (8 GB/512 GB /dows 11 Home) 15seq1559AU in and Light,321.125,8 GB,Athlon Dual Core,15s- eq1559AU,HP,AMD Radeon AMD,39.62 cm (15.6 inch),512 GB
Lenovo IdeaPad Slim 312th12450H - (16 GB/512 GB /dows 11 Home) 14IAH8 in a...,673.625,16 GB,Core i5,14IAH8,Lenovo,Intel Integrated UHD,35.56 cm (14 Inch),512 GB
SAMSUNG Galaxy Book413th1335U - (16 GB/512 GB /dows 11 Home) NP750XGJKG2IN ...,684.9875,16 GB,Core i5,NP750XGJ-KG2IN / NP750XGJ-LG2IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512 GB
Acer Aspire 3 Backlit12th1235U - (16 GB/512 GB /dows 11 Home) A32451 in a...,562.375,16 GB,Core i5,A324-51,Acer,Intel Integrated Intel Graphics,35.56 cm (14 Inch),512 GB
MSI Modern 14 5 Hexa7530U - (8 GB/512 GB /dows 11 Home) Modern 14 C7M063IN in...,462.375,8 GB,Ryzen 5 Hexa Core,Modern 14 C7M-063IN,MSI,AMD Radeon AMD,35.56 cm (14 Inch),512 GB
HP 15s 3 Quad5300U - (8 GB/512 GB /dows 11 Home) 15seq2143au in and Light Lap...,393.625,8 GB,Ryzen 3 Quad Core,15s-eq2143au,HP,AMD Radeon AMD,39.62 cm (15.6 inch),512 GB
