title,price,image_url,promo,coupon,collection_date
"jumper Laptop, 16GB RAM 128GB EMMC, 512GB SSD, Office 365 One Year, Laptop Computer with N95 CPU, 15.6 Inch FHD IPS 1080P Display, 2.4G+5G WiFi, BT4.2, 38WH Battery, 2 Speakers, Portable Laptops.",$299.99,https://m.media-amazon.com/images/I/7174i6d2pFL._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:09:19
"Lenovo V15 G2 Laptop, 15.6"" FHD Screen, Intel Dual-core Processor, 16GB RAM, 1TB SSD, Webcam, HDMI, Wi-Fi, Windows 11 Home, Black",$349.00,https://m.media-amazon.com/images/I/71LoMk4Cn7L._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:09:19
"HP 17.3 inch Laptop, FHD Display, AMD Ryzen 5 7520U, 16 GB RAM, 512 GB SSD, AMD Radeon Graphics, Windows 11 Home, 17-cp2099nr (2024)",$488.98,https://m.media-amazon.com/images/I/71hj6O0vZAL._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:09:19
"StarTech.com HPE J9283B Compatible 3m 10G SFP+ to SFP+ DAC Twinax - 10GbE SFP+ Copper DAC 10 Gbps Low Power Passive Mini GBIC/Transceiver Module DAC Firepower 1040 (J9283BST), (3m/9.8ft)",$49.41,https://m.media-amazon.com/images/I/51BYlhxYIFL._AC_UY218_.jpg,"Fri, Jan 24",No coupon,2025-01-12 19:09:19
"14"" FHD Lightweight Laptop, Intel Celeron N3350 Laptop Computer, 6GB LPDDR4 RAM 192GB(64GB eMMC/128GB SSD), WI-FI 5, BT5.0, HD Camera, Windows 10 Laptop Computer for Home & Study",$199.99,https://m.media-amazon.com/images/I/7149MuO6LtL._AC_UY218_.jpg,"Wed, Jan 22",No coupon,2025-01-12 19:09:19
Title not available,$49.99,https://m.media-amazon.com/images/I/81OaP1sXqlL._AC_SX148_SY213_QL70_.jpg,No promotion,30% off coupon applied,2025-01-12 19:09:29
Title not available,$359.88,https://m.media-amazon.com/images/I/71a8eNpIHTL._AC_SX148_SY213_QL70_.jpg,No promotion,10% off coupon applied,2025-01-12 19:09:29
Title not available,$379.99,https://m.media-amazon.com/images/I/71JmxFdNG5L._AC_SX148_SY213_QL70_.jpg,No promotion,$70.00 off coupon applied,2025-01-12 19:09:29
Title not available,$638.98,https://m.media-amazon.com/images/I/71DHV9GZSOL._AC_SX148_SY213_QL70_.jpg,No promotion,No coupon,2025-01-12 19:09:29
Title not available,$299.99,https://m.media-amazon.com/images/I/7174i6d2pFL._AC_SX148_SY213_QL70_.jpg,No promotion,No coupon,2025-01-12 19:09:29
Title not available,$349.00,https://m.media-amazon.com/images/I/71LoMk4Cn7L._AC_SX148_SY213_QL70_.jpg,No promotion,No coupon,2025-01-12 19:09:29
