Title,Price,Case Size,Battery Capacity,Model,Operating System,Storage Capacity,Price (USD)
,799.0,,,,,,9.588000000000001
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...",1099.0,1.85,Upto 7 Days,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android & iOS,,13.188
"Fire-Boltt Clickk 54.1mm (2.12 inch) AMOLED Display, Fr...",6498.0,2.12,1 Day,"Clickk 54.1mm (2.12 inch) AMOLED Display, Front Camera, Nano SIM Slot, 1000mAh",Android & iOS,64.0,77.976
"Fire-Boltt Oracle WristPhone - 4G SIM/LTE/WiFi, Android...",3699.0,46.78,Upto 4 hours depending upon usage,"Oracle WristPhone - 4G SIM/LTE/WiFi, Android OS, Play store & Phone Notification",Android & iOS,,44.388
"boAt Lunar Fit with 1.43"" AMOLED Display, BT Calling & ...",2199.0,1.43,Upto 7 Days,"Lunar Fit with 1.43"" AMOLED Display, BT Calling & Multiple Sports Modes",Android & iOS,,26.388
"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Z...",1198.0,49.53,Upto 5 Days,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Android & iOS,,14.376
"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchface...",1399.0,1.69,Upto 7 Days,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring",Android & iOS,,16.788
"Fire-Boltt Horizon 51.8mm (1.96"") AMOLED Display, Wirel...",1999.0,49.784,Upto 5 days based upon usage,"Horizon 51.8mm (1.96"") AMOLED Display, Wireless Charging, 100+ sports modes.",Android & iOS,,23.988
"OnePlus Watch 2R with Wear OS 4, Snapdragon W5 Chipset ...",17999.0,36.32,100 hours,"Watch 2R with Wear OS 4, Snapdragon W5 Chipset & Upto 100 hours battery life",Android,32.0,215.988
"CMF by Nothing Watch Pro 2, 1.32"" AMOLED, auto-brightne...",4499.0,33.5,11 Day,"Watch Pro 2, 1.32"" AMOLED, auto-brightness,Gesture Control, 3D warmup guide,GPS",Android & iOS,,53.988
"Noise Crew Go with 1.39"" Display, BT Calling with Metal...",1699.0,35.306,Up to 7 Days,"Crew Go with 1.39"" Display, BT Calling with Metal Strap and 7 Days Battery Life",Android & iOS,,20.388
,2299.0,,,,,,27.588
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...",1099.0,1.85,Upto 7 Days,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android & iOS,,13.188
Yash Enterprises T800 ULTRA Smart Watch No sim card Ope...,750.0,50.0,4 year,T800 ULTRA Smart Watch No sim card Opetion Smartwatch NO sim card,Android & iOS,4.0,9.0
"Noise Pro 5 1.85 AMOLED Always-on Display, DIY Watch fa...",2999.0,46.99,Upto 7 days,"Pro 5 1.85 AMOLED Always-on Display, DIY Watch face, SoS Technology, BT Calling",Android & iOS,,35.988
SAMSUNG Watch6 Bluetooth,21999.0,1.47,Up to 40 hours,Watch6 Bluetooth,Android,16.0,263.988
"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Z...",1198.0,49.53,Upto 5 Days,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Android & iOS,,14.376
"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchface...",1399.0,1.69,Upto 7 Days,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring",Android & iOS,,16.788
"Noise Halo 2 1.43"" AMOLED, Rotating Axe-Cut Bezel, Stai...",5174.0,37.084,Up to 7 Days,"Halo 2 1.43"" AMOLED, Rotating Axe-Cut Bezel, Stainless Steel Build, BT Calling",Android & iOS,,62.088
PunnkFunnk T800 ultra Series 8 smart watch with AI assi...,664.0,49.0,2 Days Max after all things used but Normal 5 Days Battery run Proper,"T800 ultra Series 8 smart watch with AI assistant, bluetooth calling and fitness",Android & iOS,2.0,7.968
"Fire-Boltt Astra Luxury Stainless Steel Smart Watch, Bl...",1799.0,32.512,Upto 7 Days,"Astra Luxury Stainless Steel Smart Watch, Bluetooth Calling with 1.28 Display",Android & iOS,,21.588
"Noise Crew Go with 1.39"" Display, BT Calling with Metal...",1699.0,35.306,Up to 7 Days,"Crew Go with 1.39"" Display, BT Calling with Metal Strap and 7 Days Battery Life",Android & iOS,,20.388
,1599.0,,,,,,19.188
