Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
HP Chromebook 13G1 Core M5. 8GB RAM 32GB SSD,$87.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-05 01:14:20
"15.6"" DELL Latitude Laptop PC: Intel i7 Eight-Cores! 32GB RAM ~ 1TB NVME SSD!",$439.95,32 GB,Intel Core i7-11850H,Dell Latitude 5521,Dell,Intel UHD Graphics 620,15.6 in,1 TB,2025-02-05 01:14:09
"Dell Latitude 3500 15.6"" Laptop i5 8th Gen 250GB SSD 8GB RAM Win 11 Pro (AVA)",$179.95,8 GB,Intel Core i5 8th Gen.,Dell Latitude 3500,Dell,Intel UHD Graphics 620,15.6 in,250 GB,2025-02-05 01:14:12
HP EliteBook 850 G8 Laptop 15.6” FHD Core i5 4.2GHz 16GB 512GB SSD Windows 11,$384.99,16 GB,Intel Core i5-1135G7,HP EliteBook 850 G8,HP,Intel Iris Xe Graphics,15.6 in,512 GB,2025-02-05 01:14:11
"Dell Inspiron 15 3525 Laptop PC AMD Ryzen 5, 8GB 512GB NVMe  (Spanish Keyboard)",$229.97,8 GB,AMD Ryzen 5,Dell Inspiron 15 3525,Dell,AMD Radeon,15.6 in,512 GB,2025-02-05 01:14:12
HP 250 15.6 G9 Notebook Laptop Intel i5-1235U 16GB RAM 512GB SSD,$499.00,16 GB,Intel Core i5 12th Gen.,hp g9,HP,Intel Iris Xe Graphics,15.6 in,512 GB,2025-02-05 01:14:13
"Lenovo Yoga Slim 7x 14.5"" 3K OLED Snapdragon X Elite 16GB DDR5 512GB SSD Blue",$699.99,16 GB,Snapdragon X Elite,Lenovo Yoga Slim 7x,Lenovo,Qualcomm Adreno,14.5 in,512 GB,2025-02-05 01:14:21
HP EliteBook 840 G7 i7-10610U 1.80GHz 16GB RAM 256GB SSD WIN 11 PRO Laptop PC,$169.99,16 GB,i7-10610U,HP EliteBook 840 G7,HP,Intel UHD Graphics,14 in,256 GB,2025-02-05 01:14:07
"New Samsung Galaxy Book4 15.6"" FHD Ultra 7 150U 16GB 1TB SSD Cam FPReader W11P",US $668.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-05 01:14:10
"15.6"" HP EliteBook Laptop: Intel i5! 16GB RAM~512GB SSD! Windows 10 Pro! Webcam!",$229.99,16 GB,Intel Core i5 6th Gen.,HP Elitebook 850 G4,HP,Intel HD Graphics,15.6 in,512 GB,2025-02-05 01:14:06
"Panasonic Toughbook CF-AX3 11.6"" i5 FHD 256GB SSD W 10 , 8GB Ram, 2 in 1 Laptop",$185.51,8 GB,Intel Core i5 4th Gen.,Panasonic Toughbook CF-AX3,Panasonic,Intel HD Graphics,11.6 in,256 GB,2025-02-05 01:14:10
"HP ProBook 15.6"" Laptop PC: Intel i5! 8GB RAM! 512GB SSD! Windows 10!",$194.99,8 GB,Intel Core i5 6th Gen.,HP Elitebook 850 G3,HP,Intel HD Graphics,15.6 in,512 GB,2025-02-05 01:14:16
