Title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors
EVGA evga geforce rtx 3080 ti ftw3 ultra gaming 12gp53967kr icx3,1508.6,EVGA,12.0,GDDR5,GeForce RTX 3060,DisplayPort; DVI; HDMI
GeForce RTX 4070,1064.1,EVGA,12.0,GDDR5,GeForce RTX 4070,DisplayPort; DVI; HDMI
EVGA GeForce RTX 4070,742.9,EVGA,1.0,GDDR5,GeForce RTX 4070,DisplayPort; DVI; HDMI
EVGA AMD,86.3,EVGA,4.0,GDDR5,AMD,DVI
AMD AMD,196.0,AMD,8.0,GDDR5,AMD,DVI
ASUS asus geforce strix gtx 750 ti ddr3 semifanless,401.8,ASUS,2.0,GDDR5,AMD,DVI
ASUS AMD,196.9,ASUS,6.0,GDDR6,AMD,DVI
ASUS AMD,51.5,ASUS,1.0,GDDR6,AMD,DisplayPort; HDMI
GALAX galax geforce rtx 4070 super 1click 2x xtreme tuner app control,893.8,GALAX,12.0,GDDR6,GeForce RTX  4070,DisplayPort; HDMI
GALAX GeForce RTX  4070,63.1,GALAX,12.0,GDDR5,GeForce RTX  4070,DisplayPort; HDMI
AMD amd rx 580 with fans 256bit dp pci 30 16x,146.8,AMD,12.0,GDDR5,GeForce RTX  4070,DisplayPort; HDMI
AMD GeForce RTX  4070,1153.4,AMD,12.0,GDDR5,GeForce RTX  4070,DisplayPort; HDMI
PNY pny geforce rtx 4070 super verto fan dlss 3 nvidia,1074.2,PNY,12.0,GDDR5,GeForce RTX  4070,DisplayPort; HDMI
PNY pny geforce rtx 4070 super verto fan dlss 3 nvidia,958.7,PNY,12.0,GDDR5,GeForce RTX  4070,DisplayPort; HDMI
EVGA GeForce RTX 3070,6829839.1,EVGA,8.0,GDDR6,GeForce RTX 3070,VGA
GeForce RTX 3080,1631.7,EVGA,12.0,GDDR6,GeForce RTX 3080,VGA
EVGA GeForce RTX 3080,51.0,EVGA,2.0,GDDR6,GeForce RTX 3080,VGA
GALAX galax geforce rtx 4070 super 1click 2x v2 xtreme tuner app control,852.8,GALAX,12.0,GDDR6,GeForce RTX  4070,VGA
PNY vision computers inc pny rtx a2000 12 gb ecc,892.4,PNY,8.0,GDDR5,GeForce RTX  4070,DisplayPort; HDMI
PNY GeForce RTX  4070,129.3,PNY,8.0,GDDR5,GeForce RTX  4070,DisplayPort; HDMI
PNY GeForce RTX  4070,154.1,PNY,8.0,GDDR5,GeForce RTX  4070,DisplayPort; HDMI
GALAX galax geforce rtx 4070 1click 2x v2 xtreme tuner app control,770.8,GALAX,12.0,GDDR6,GeForce RTX  4070,DisplayPort; HDMI
EVGA GeForce RTX 3070,99631139.7,EVGA,8.0,GDDR5,GeForce RTX 3070,DisplayPort; HDMI
ZOTAC zotac gaming geforce rtx 3050 eco edition 14 gbps 40,292.6,ZOTAC,8.0,GDDR5,GeForce RTX  3050,DisplayPort; HDMI
GALAX galax geforce rtx 4070 1click 2x v2 xtreme tuner app control,770.8,GALAX,8.0,GDDR5,GeForce RTX  4070,DisplayPort; HDMI
GALAX GeForce RTX  4070,142.3,GALAX,8.0,GDDR5,GeForce RTX  4070,DisplayPort; HDMI
ZOTAC zotac gaming geforce rtx 3080 ti amp holo 384bit 19 gbps 40,1959.6,ZOTAC,8.0,GDDR5,GeForce RTX  3080,3 x DisplayPort 1.4a: 8K @ 60Hz; HDMI 2.1a: 8K @ 60 Hz
PNY pny geforce rtx 4070 ti super xlr8 gaming verto epicx rgb fan,1542.3,PNY,8.0,GDDR5,GeForce RTX  4070,3 x DisplayPort 1.4a: 8K @ 60Hz; HDMI 2.1a: 8K @ 60 Hz
ZOTAC GeForce RTX 3060,1505.9,ZOTAC,8.0,GDDR5,GeForce RTX 3060,3 x DisplayPort 1.4a: 8K @ 60Hz; HDMI 2.1a: 8K @ 60 Hz
ZOTAC GeForce RTX 3060,150.5,ZOTAC,8.0,GDDR5,GeForce RTX 3060,3 x DisplayPort 1.4a: 8K @ 60Hz; HDMI 2.1a: 8K @ 60 Hz
ZOTAC GeForce RTX 4060,552.2,ZOTAC,8.0,GDDR6,GeForce RTX 4060,3 x DisplayPort 1.4a: 8K @ 60Hz; HDMI 2.1a: 8K @ 60 Hz
NVIDIA hp j3g90aa cto nvidia quadro k5200 cards,251.6,NVIDIA,8.0,GDDR6,GeForce RTX 4060,3 x DisplayPort 1.4a: 8K @ 60Hz; HDMI 2.1a: 8K @ 60 Hz
NVIDIA GeForce RTX 4060,105.1,NVIDIA,2.0,GDDR6,GeForce RTX 4060,3 x DisplayPort 1.4a: 8K @ 60Hz; HDMI 2.1a: 8K @ 60 Hz
