Category,Title,Price,RAM,CPU,Model,GPU,Screen Size,Storage,Collection Date
Laptops,"2020 Apple MacBook Pro 13 Core i5 1.4GHz 8GB 512GB SSD Silver A2289, Very Good",509.99,8.0,Core i5 (I5-8257U),MacBook Pro,,"13""",512.0,2025-01-27 01:45:33
Laptops,2015 Apple MacBook Air 13'' i5 1.6GHz 8GB 256GB A1466 MMGF2LL/A Silver,179.0,8.0,I5-5250U,MacBook Air,,13 in,256.0,2025-01-27 01:47:15
Laptops,Apple MacBook Air 2014 Silver Azerty/French I5- 1.4GHz 4GB RAM 13.3 128GB SSD,339.0,4.0,Intel Core i5 4th Gen.,MacBook Air,,13.3 in,128.0,2025-01-27 01:46:15
Laptops,Apple MacBook Air Core i5 1.6GHz 8GB RAM 512GB SSD 13 MVFL2LL/A (2019) - Good,389.97,8.0,Intel Core i5,Apple MacBook Air,,13.3 in,512.0,2025-01-27 01:47:04
Laptops,Apple Geek Squad Certified  MacBook Pro 13.3•8GB•13.3 es,809.99,8.0,Apple M1,Geek Squad Certified Refurbished MacBook Pro 13.3,,13.3 in,256.0,2025-01-27 01:45:32
Laptops,"Apple Macbook Air MD845LL/A 11.6'' Core i7-3667U 8GB 128GB SSD Silver, Very Good",219.99,8.0,Core i7 (I7-3667U),MD845LL/A,,11.6 in,128.0,2025-01-27 01:45:25
Laptops,Apple MacBook Pro Core i5 2.4GHz 8GB RAM 256GB SSD 13 MV992LL/A 2019 Very Good,514.97,8.0,Intel Core i5,Apple MacBook Pro,,13.3 in,256.0,2025-01-27 01:49:17
Laptops,MacBook Pro 13 Space Gray 2020 M1 8-Core CPU/GPU 16GB 256GB SSD - Good Condition,583.99,16.0,Apple M1,MacBook Pro,,13 in,256.0,2025-01-27 01:46:38
Laptops,"Apple MacBook Pro (16-, 2019) - 2.6GHz i7 - 16GB RAM - 512GB SSD - Good",490.99,16.0,Intel Core i7,MVVJ2LL/A,,16 in,512.0,2025-01-27 01:46:09
Laptops,Apple MacBook Air 2015 A1466 (I7-5650U 2.2GHz - 8GB RAM - 256GB SSD - MJVE2LL/A),209.99,8.0,Intel Core i7 2.2 GHz,A1466,,13.3 in,256.0,2025-01-27 01:48:15
Laptops,Apple MacBook Pro Laptop Core i5 2.4GHz 8GB RAM 256GB SSD 13 ME865LL/A,269.99,8.0,Intel Core i5,Apple MacBook Pro,,13.3 in,256.0,2025-01-27 01:46:15
Laptops,Apple 2024 MacBook Air 13- Laptop with M3 chip: 13.6- Liquid Retina,900.0,8.0,Apple M3,MacBook Air,,13 in,256.0,2025-01-27 01:47:43
Laptops,2020+ Apple MacBook Pro 13 3.2GHz M1 TURBO 16GB RAM 256GB SSD - SEQUOIA,857.86,16.0,Apple M1,MacBook Pro (Magic Keyboard),,13 in,256.0,2025-01-27 01:46:11
Laptops,Apple MacBook Pro M1 Pro 8-Core CPU 16GB RAM 512GB SSD 14 MKGP3LL/A (2021) Good,929.97,16.0,Apple M1 Pro,Apple MacBook Pro,,14.2 in,512.0,2025-01-27 01:46:59
Laptops,Apple MacBook Pro 13.3 2020 M1 16 GB  Space Gray A2338 #6Q05N,699.99,8.0,Apple M1,A2338,,13 in,256.0,2025-01-27 01:47:36
Laptops,Apple MacBook Pro Core i5 2.7GHz 8GB RAM 128GB SSD 13 MF839LL/A (2015) - Good,279.99,8.0,Intel Core i5,Apple MacBook Pro,,13.3 in,128.0,2025-01-27 01:48:16
Laptops,Apple MacBook Pro 13 Core i7 2.8GHz 16GB RAM 256GB SSD MV962LL/A 2019,449.0,16.0,Intel Core i5 8th Gen.,PRO,,13 in,256.0,2025-01-27 01:45:30
Laptops,Apple MacBook Pro Core i7 2.6GHz 16GB RAM 512GB SSD 15 MR972LL/A (2018) - Good,439.97,16.0,Intel Core i7,Apple MacBook Pro,,15.4 in,512.0,2025-01-27 01:46:44
Laptops,Apple MacBook Air Mqd32ll/a 2017 MS2-45W Silver - Qwerty/Spanish 8GB 13.3 128GB,349.0,8.0,Intel Core i5 5th Gen.,MacBook Air,,13.3 in,128.0,2025-01-27 01:46:47
