title,price,ram,cpu,model,brand,gpu,screen size,storage,collection date
Panasonic Toughbook CF-19 MK3 - 1.20GHz - 128GB  - 4GB - Win 10 - UK Keyboard,123.16,4.0,1.20GHz Intel CPU,Panasonic Toughbook CF-19,Panasonic,Unknown,10.4,128.0,1/29/2025 22:23
"Acer Chromebook Spin 511 | N4100 | 11"" Touch | 4GB + 240GB  | W11 #Excellent",124.12,16.0,Intel Core i7-5600U,"Acer Chromebook Spin 511 | N4100 | 11"" Touch | 4GB + 240GB  | W11 #Excellent",,Unknown,14.0,512.0,1/29/2025 22:23
HP EliteBook 840 G1 14”   Computer  i5   256GB   10,127.05,8.0,Intel Core i5-4200U,HP EliteBook 840 G1,HP,Intel HD Graphics 4000,14.0,256.0,1/29/2025 22:23
CHUWI 14.1'' -  Celeron -  Memory - 256GB  - Natural Gray,129.99,16.0,Intel Core i3-8145U,CHUWI 14.1'' -  Celeron -  Memory - 256GB  - Natural Gray,,Unknown,14.0,512.0,1/29/2025 22:23
CHUWI 14.1'' -  Celeron -  Memory - 256GB  - Natural Gray,129.99,16.0,Intel Core i5 2nd Gen.,CHUWI 14.1'' -  Celeron -  Memory - 256GB  - Natural Gray,,Unknown,14.0,512.0,1/29/2025 22:23
"Lenovo ThinkPad W530  i7 3840QM 2.80GHZ ""  16GB  NO /BATTERY",129.99,16.0,Intel Core i3-8145U,"Lenovo ThinkPad W530  i7 3840QM 2.80GHZ ""  16GB  NO /BATTERY",,Unknown,14.0,512.0,1/29/2025 22:23
"Lenovo Chromebook Flex 3 Convertible  Tablet 11.6""  4GB 32GB",133.65,4.0,MediaTek MT8173C,Lenovo FLEX 3,Lenovo,On board,11.6,32.0,1/29/2025 22:23
CHUWI 14.1''  Computer   11 Home  2.8GHz  256GB HD WIFI,134.99,8.0,Intel Celeron Processor N4020,CHUWI Herobook Pro,Chuwi,"Intel UHD Graphics 600, 650MHz",14.0,128.0,1/29/2025 22:23
"Dell Latitude 5580 ""  i5 i5-7300U  128GB  10",134.99,8.0,Intel Core i5 7th Gen.,Dell Latitude 5580,Dell,Intel HD Graphics,15.6,128.0,1/29/2025 22:23
"Dell Latitude E7470  i7 6600U 2.60GHz 16GB  256GB  14"" Win 10",134.99,16.0,Intel Core i3 4th Gen.,"Dell Latitude E7470  i7 6600U 2.60GHz 16GB  256GB  14"" Win 10",,Unknown,14.0,512.0,1/29/2025 22:23
"HP X360 11 G5  11""  Pentium Silver   128GB   10",139.66,8.0,Intel Pentium Silver N5030,HP ProBook X360 11 G5 EE,HP,Intel UHD Graphics 605,11.6,128.0,1/29/2025 22:22
"~CD/DVD DRIVE~ 14"" Dell Latitude  :  i5 ! 16GB ~750GB !",139.95,16.0,Intel Core i5 2nd Gen.,Dell Latitude E5420,Dell,Intel HD Graphics,14.0,512.0,1/29/2025 22:23
Lenovo ThinkPad X1 Carbon 3rd Gen     i7 256GB,139.99,8.0,Intel core i7-5th Gen,Lenovo ThinkPad X1 Carbon 3rd Gen,Lenovo,Intel HD Graphics Card,14.0,256.0,1/29/2025 22:23
"~OVERSTOCK SALE~ 14"" HP EliteBook  :  i5!  ! 500GB !",144.95,8.0,Intel Core i5 2nd Gen.,HP EliteBook 8460P,HP,Intel HD Graphics,14.0,512.0,1/29/2025 22:23
