Title,Price,Screen Size,Maximum Resolution,Aspect Ratio,Response Time,Model,Refresh Rate,Price (USD),Brand
SAMSUNG 60.96 cm (24 inch) Full HD LED Backlit IPS Panel Frameless Monitor (LS24R356FHWXXL),14399.0,60.96,1920x1080,16:09,5.0,LS24R356FHWXXL,75.0,172.79,Unknown
"Lenovo L-Series 60.96 cm (24 inch) Full HD LED Backlit VA Panel with 72% NTSC, HDMI 1.4, VGA, Tilt Sta...",8199.0,60.96,,16:09,4.0,L24e-40,100.0,98.39,Unknown
"DELL S Series 60.45 cm (23.8 inch) Full HD IPS Panel with 3-Years warranty, 99% sRGB, Low Blue Light t...",9799.0,60.45,1920x1080,16:09,4.0,S2421HNM / S2421HN,75.0,117.59,Unknown
"ZEBRONICS 68.58 cm (27 inch) Full HD IPS Panel with 300 Nits Brightness, HDR10, 99% sRGB 1 x DP, 1 x H...",11799.0,68.58,1920x1080,16:09,1.0,"ZEB-IGM 102,ZEB-N27A",180.0,141.59,Unknown
"SAMSUNG Odyssey G3 60.96 cm (24 inch) Full HD VA Panel with Height Adjustable Stand, Eye Saver Mode, 3...",10999.0,60.96,,16:09,1.0,LS24AG320NWXXL/LS24AG322NWXXL,165.0,131.99,Unknown
LG Ultra-Gear 68.58 cm (27 inches) Full HD LED Backlit VA Panel Gaming Monitor (27GQ50F-BD.CTRVMV),14500.0,68.58,1920x1080,16:09,5.0,27GQ50F-BD.CTRVMV,165.0,174.0,Unknown
Data not available,,60.45,,,5.0,nan,,,Unknown
Data not available,,60.45,,,5.0,nan,,,Unknown
Data not available,,60.45,,,5.0,nan,,,Unknown
Data not available,,60.45,,,5.0,nan,,,Unknown
Data not available,,60.45,,,5.0,nan,,,Unknown
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0054),3154.0,50.8,1600x900,16:09,5.0,MON-0054,60.0,37.85,Unknown
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0074),2699.0,50.8,1600x900,16:09,3.0,MON-0074,60.0,32.39,Unknown
"Acer 49.53 cm (19.5 inch) HD+ TN Panel with VGA, HDMI, Acer VisionCare, ENERGY STAR Certified, Tilt-ab...",5075.0,49.53,,16:09,6.0,K202Q,75.0,60.9,Unknown
"Acer 80.01 cm (31.5 inch) Full HD LED Backlit IPS Panel with VGA, HDMI, 2X1W Inbuilt Speakers, Flicker...",13999.0,80.01,,16:09,1.0,SA322Q,75.0,167.99,Unknown
