title,price,promo,coupon,collection_date
"AOC Laptop Computer 16GB RAM 512GB SSD Gaming Laptops 15.6 Inch FHD Screen Premium Laptop (Up to 3.6GHz) Windows 11 Laptop Computer, Light&Thin, Metal Shell, Webcam, Type-C, USB3.2",$399.99,No promotion,$70.00 off coupon applied,2025-01-12 17:41:54
"HP 17.3"" FHD Essential Business Laptop, 32GB DDR4 RAM, 1TB PCIe SSD, Intel 12th Gen 6-Core i3 Processor (Up to 4.4GHz,Beat i5-1155G7), Bluetooth, Webcam, Windows 11 Pro, Silver",$542.00,"Wed, Jan 22",No coupon,2025-01-12 17:41:54
"Samsung 32"" UJ59 Series 4K UHD (3840x2160) Computer Monitor, HDMI, Display Port, Eye Saver/Flicker Free Mode, Game Mode, Slim Bezels, AMD FreeSync, LU32J590UQNXZA, Black",$297.99,"Wed, Jan 22",No coupon,2025-01-12 17:41:54
"HP 17.3"" FHD Business Laptop 2024, 32GB RAM, 1TB SSD, 12th Gen Intel Core i3-1215U (6-Core, Beat i5-1135G7), Wi-Fi, Long Battery Life, Webcam, Numpad, Windows 11 Pro, KyyWee Accessories",$560.00,"Wed, Jan 22",No coupon,2025-01-12 17:41:54
"TPV 16"" Laptop Computer Intel Core i5, 16GB RAM, 512GB SSD, MS Office 2024, IPS(1920 x 1200) 16:10 Display, Windows 11 Pro Notebook PC with BT5.0 Wi-Fi, 3xUSB A, HDMI, RJ45, Backlit Keyboard, Gray",$329.00,"Wed, Jan 22",No coupon,2025-01-12 17:41:54
"Laptop, 12GB LPDDR5 RAM, 1TB SSD, 15.6 Inch Laptop Computer, Win 11 Pro, N95 Quad Core Processor, Up to 3.4GHz, Preinstall Office Pro Plus 2024, WiFi 5, BT 5.0, USB-C, Webcam, Fingerprint",$299.00,"Wed, Jan 22",No coupon,2025-01-12 17:41:54
"HP ProDesk 400 G9 Mini Business Desktop, 13th Gen Intel 14-Core i5-13500T (Beat i7-12700), 32GB RAM, 1TB PCIe SSD, Wi-Fi 6, HDMI, DP, Support 3-Monitor 4K, Wired Keyboard and Mouse, Windows 11 Pro",$616.00,"Wed, Jan 22",No coupon,2025-01-12 17:41:54
"Dell Optiplex 5060 Desktop Computer | Hexa Core Intel i5 (3.2) | 32GB DDR4 RAM | 1TB SSD Solid State | Windows 11 Professional | Home or Office PC (Renewed), Black",$243.00,"Thu, Jan 23",No coupon,2025-01-12 17:41:54
HP ProDesk 600G4 Tower Desktop Computer | Intel i7-8700 (3.4) | 32GB DDR4 RAM | 1TB SSD Solid State | Wi-Fi 5G + Bluetooth | Windows 11 Professional | Home or Office PC (Renewed),$308.27,"Wed, Jan 22",No coupon,2025-01-12 17:41:54
"GMKtec Mini PC Intel N150 Windows 11 Pro (3.6GHz) 16GB DDR4 1TB PCIe M.2 NVMe SSD, Desktop Computer 4K Dual HDMI Display/4x USB3.2/WiFi 6/BT5.2/RJ45 Ethernet G3 Plus",$249.99,No promotion,$55.00 off coupon applied,2025-01-12 17:41:54
"ASUS 2024 Vivobook Go 11.6” HD Laptop, Intel Dual Core N4500, Intel Graphics, 4GB, 128GB, Windows 11 Home in S Mode, Star Black, L210KA-ES04",$198.00,No promotion,No coupon,2025-01-12 17:41:54
"acer Aspire 3 A315-24PT-R0UX Slim Laptop, 15.6"" Full HD IPS Touch Display, AMD Ryzen 5 7520U Quad-Core Processor, AMD Radeon Graphics, 16GB LPDDR5, 512GB NVMe SSD, Wi-Fi 6, Windows 11 Home",Price not available,No promotion,No coupon,2025-01-12 17:41:54
"Dell Optiplex 5050 SFF Desktop Computer PC, Core i5-6500 3.2GHz, 16GB RAM, 256GB SSD, Keyboard & Mouse, DisplayPorts, HDMI, RJ-45, Windows 10 Pro (Renewed)",$134.98,"Tue, Jan 28",No coupon,2025-01-12 17:41:54
"Beelink Mini PC, SER5 Pro 5850U AMD Ryzen 7 (Up to 4.4GHz) 16GB DDR4 500GB PCle 3.0 SSD Mini Desktop Computer, 1000Mbps LAN, Wifi6/BT5.2,HDMI/DP/Type-c/4K Triple Display Micro Mini PC",$279.00,"Wed, Jan 22",No coupon,2025-01-12 17:41:54
"AINOTE Air 2 Note Taking Tablet, 8.2-inch Writing Tablet for Adults, Voice Transcribe Support 8 Languages, 32GB Memory, Digital Notebook with Stylus Pen, E Ink Paper Tablet for Meetings, Grey",$549.00,"Wed, Jan 22",$90.00 off coupon applied,2025-01-12 17:41:54
"14"" Laptop Win 11 256GB SSD Up to 1TB SSD Expand Celeron N4020 Up to 2.8Ghz Dual-Core Processor 6GB DDR4 1920x1080 FHD Dual WiFi BT4.2 with Webcam Keyboard Protect Flim for Business-Silver",$209.99,"Wed, Jan 22",No coupon,2025-01-12 17:41:54
"HDMI KVM Switch 2 Monitors 2 Computers 4K@60Hz, USB3.0 KVM Switch Dual Monitor with 3 USB 3.0 Ports Sharing Keyboard and Mouse, Printer/Scanner, Desktop Controller",$69.99,"Thu, Jan 23",20% off coupon applied,2025-01-12 17:42:01
"Bluetooth Headset, Wireless Headset with Microphone for PC, V5.2 Computer Headset with Noise Cancelling Mic, USB Dongle, Charging Base & Mute Button for Work, Cell Phones, Computer (Black)",$59.99,"Wed, Jan 22",$4.00 off coupon applied,2025-01-12 17:42:01
"GMKtec Mini PC Gaming Preinstalled Windows 11 Pro, K6 AMD Ryzen 7 7840HS Dual NIC LAN 2.5Gbps Desktop Computer, 32GB DDR5 (16GB*2) 1TB PCIe4.0 SSD, USB4.0, HDMI, DP, USB-C, WiFi 6E, BT 5.2",$479.98,No promotion,5% off coupon applied,2025-01-12 17:42:01
"GMKtec Mini PC Intel N97 (up to 3.60GHz) Windows 11 Pro Micro Desktop Computer 12GB DDR5+512GB SSD for Business, School, Office",$199.99,"Wed, Jan 22",$48.00 off coupon applied,2025-01-12 17:42:01
"Beelink EQi12 Dual LAN Mini PC, Intel Core 1220P(10C/12T, up to 4.4GHz), 24GB LPDDR5 5200MHz 500GB PCIe4.0 SSD, Mini Desktop Computer Support WiFi 6/ BT5.2/ Dual HDMI/Bulit-in 85W Power Supply",$329.00,"Wed, Jan 22",No coupon,2025-01-12 17:42:01
"KAMRUI Essenx E2 N150 Mini Pc with Windows 11 Pro, Micro pc 16GB DDR4 512GB SSD Mini Computers, Twin Lake-N N150 (Beat N100, up to 3.6GHz), HDMI+DP1.4 Dual 4K UHD,Gigabit Ethernet,WiFi,BT/Home/Office",$219.99,"Wed, Jan 22",$30.00 off coupon applied,2025-01-12 17:42:01
"GMKtec Gaming Mini PC K8 Plus AMD Ryzen 7 8845HS(8C/16T, up to 5.1GHz) 32GB DDR5 RAM 1TB SSD, Desktop Computer Preinstalled Windows 11 Pro Dual NIC 2.5G, HDMI 2.1, USB4",$549.99,"Wed, Jan 22",No coupon,2025-01-12 17:42:01
"DELL Inspiron 15 3000 3520 Business Laptop Computer 15.6'' FHD Touchscreen,11th Gen Intel 4 Cores i5-1155G7, with Microsoft Office 365,32G,1TB, Numeric Keypad, Wi-Fi, Webcam, HDMI, Black",$470.00,"Wed, Jan 22",No coupon,2025-01-12 17:42:01
"GMKtec Mini PC, Intel Twin Lake N150 (Upgraded N100) Preinstalled Windows 11 Pro, 16GB DDR4 RAM 512GB PCIe M.2 SSD, Desktop Computer 4K Dual HDMI/USB3.2/WiFi 6/BT5.2/2.5GbE RJ45 for Office, Business",$179.98,No promotion,$20.00 off coupon applied,2025-01-12 17:42:01
"P4 Plus Mini PC, AMD Ryzen 7 5825U(Upgraded 5800U) Mini PC Windows 11 Pro 32GB DDR4 1TB SSD Mini Computers (up to 4.5Ghz), 4K Triple Display Mini Desktop Computers BT5.2/Wi-Fi6E",$329.99,"Wed, Jan 22",No coupon,2025-01-12 17:42:01
"TPV 16"" Laptop Computer Intel Core i5, 16GB RAM, 512GB SSD, MS Office 2024, IPS(1920 x 1200) 16:10 Display, Windows 11 Pro Notebook PC with BT5.0 Wi-Fi, 3xUSB A, HDMI, RJ45, Backlit Keyboard, Gray",$329.00,"Wed, Jan 22",No coupon,2025-01-12 17:42:01
"Full HD 1080P Video Webcam and Wide Angle Camera with Built-in Microphone and Rotatable Tripod,for Laptop Computer or Desktop PC,Great for Live Streaming.Calls.Video Conferencing(Black)-1",$49.99,"Thu, Jan 23",30% off coupon applied,2025-01-12 17:42:01
"ASUS L410 MA-DB02 Ultra Thin Laptop, 14” FHD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, NumberPad, Windows 10 Home in S Mode, Star Black",$269.78,"Wed, Jan 22",No coupon,2025-01-12 17:42:01
"HP Prodesk 600 G3 Micro Computer Mini PC (Intel Quad Core i5-7500T 2.7Ghz, 16GB DDR4 Ram, 256GB SSD, Display Port, USB 3.0, USB-C) Win 10 Pro (Renewed)",$101.99,No promotion,No coupon,2025-01-12 17:42:01
"Lenovo 2024 IdeaPad 1 Gen 7 Laptop, 15.6"" FHD Touchscreen, Intel Core i3-1215U, 24GB RAM, 1TB SSD, SD Card Reader, HDMI, Webcam, Wi-Fi 6, Windows 11 Home, Grey",$399.00,No promotion,No coupon,2025-01-12 17:42:01
"Beelink SER5 Pro Mini PC, AMD Ryzen 7 5850U(7nm, 8C/16T) up to 4.4GHz, Mini Computer 32GB DDR4 RAM 500GB NVME SSD, Micro PC 4K@60Hz Triple Display, Mini Gaming Computer WiFi6/BT5.2/54W/HTPC/W-11 Pro",$299.00,"Wed, Jan 22",No coupon,2025-01-12 17:42:01
"PELADN Mini PC, Intel 12th Gen Alder Lake- N100(up to 3.4GHz), 16GB DDR4 RAM 512GB M.2 PCIe SSD, Desktop Computer Support 4K Dual Display/USB3.2/WiFi 4/BT4.2",$151.99,"Fri, Jan 24",No coupon,2025-01-12 17:42:01
"STGAubron Gaming PC Computer Desktop, Radeon RX 580 16G GDDR5, Intel Core i7 up to 3.9G, 16G RAM, 512G SSD, 600M WiFi, BT 5.0, RGB Fan x3, Windows 10 Home",$499.99,"Wed, Jan 22",$30.00 off coupon applied,2025-01-12 17:42:01
"Dell OptiPlex 5040 SFF Desktop Computer PC Bundle Setup with New 24"" FHD Monitor, Intel Core i5-6500, 16GB RAM, 256GB SSD, Headphone, Keyboard & Mouse, Wi-Fi, Bluetooth, Windows 10 Pro (Renewed)",$209.90,"Wed, Jan 22",10% off coupon applied,2025-01-12 17:42:01
"Mini PC, Intel N100 Windows 11Pro Mini Desktop Computer(up to 3.4GHz), 8GB DDR4 RAM 256GB M.2 SSD Micro PC 4K Dual Display/USB3.2/WiFi 6/BT5.2/Gigabit Ethernet for Home, Office, Business",$125.98,"Fri, Jan 24",5% off coupon applied,2025-01-12 17:42:01
"AINOTE Air 2 Note Taking Tablet, 8.2-inch Writing Tablet for Adults, Voice Transcribe Support 8 Languages, 32GB Memory, Digital Notebook with Stylus Pen, E Ink Paper Tablet for Meetings, Grey",$549.00,"Wed, Jan 22",$90.00 off coupon applied,2025-01-12 17:42:01
"Laptop, 12GB LPDDR5 RAM, 1TB SSD, 15.6 Inch Laptop Computer, Win 11 Pro, N95 Quad Core Processor, Up to 3.4GHz, Preinstall Office Pro Plus 2024, WiFi 5, BT 5.0, USB-C, Webcam, Fingerprint",$299.00,"Wed, Jan 22",No coupon,2025-01-12 17:42:01
"Bluetooth Headset, Wireless Headset with Microphone for PC, V5.2 Computer Headset with Noise Cancelling Mic, USB Dongle, Charging Base & Mute Button for Work, Cell Phones, Computer (Black)",$59.99,"Wed, Jan 22",$4.00 off coupon applied,2025-01-12 17:42:08
"HDMI KVM Switch 2 Monitors 2 Computers 4K@60Hz, USB3.0 KVM Switch Dual Monitor with 3 USB 3.0 Ports Sharing Keyboard and Mouse, Printer/Scanner, Desktop Controller",$69.99,"Thu, Jan 23",20% off coupon applied,2025-01-12 17:42:08
"Mini PC, Intel N100 Windows 11Pro Mini Desktop Computer(up to 3.4GHz), 8GB DDR4 RAM 256GB M.2 SSD Micro PC 4K Dual Display/USB3.2/WiFi 6/BT5.2/Gigabit Ethernet for Home, Office, Business",$125.98,"Fri, Jan 24",5% off coupon applied,2025-01-12 17:42:08
ACEMAGIC Mini Gaming PC Ryzen 9 6900HX+ AMD Radeon 680M (up to 4.9GHz) Mini Computers 32GB DDR5 512GB NVMe SSD Mini PC [3 Modes/RGB Lights] Mini Desktop Computer/WiFi6/BT5.2/4K UHD,$399.00,"Wed, Jan 22",No coupon,2025-01-12 17:42:08
"Laptop Computer 16GB LPDDR4 512GB SDD Portable PC 15.6 inch Cerelon N5095 Chip Traditional Laptops 4K Full HD WiFi5 Bluetooth 4.2 Notebook Computer Support Fingerprint Unlock, Webcam",Price not available,No promotion,No coupon,2025-01-12 17:42:08
"Mini PC N100 Intel, Super Tiny Small PC, Windows 11, 1TB M.2 SSD PCle 16GB LPDDR5 4800MHz, Mini Desktop Computer, 4K UHD Triple Display, Mini Server for Business, School, Office, Home",$209.99,"Wed, Jan 22",$15.00 off coupon applied,2025-01-12 17:42:08
"HP 17 17.3"" HD+ Touchscreen Laptop Computer for Home & Student, Intel Pentium Silver N5030, 64GB RAM, 1TB PCIe SSD, Numeric Keypad, Wi-Fi 5, BT 5.0, HDMI, Silver, Windows 11 Home(S Mode), w/Battery",$629.00,"Wed, Jan 22",No coupon,2025-01-12 17:42:08
"ACEMAGIC N150 Vista Mini PC V1, 16GB DDR4 RAM 1TB SSD, Windows 11 Pro Desktop 4K Dual Display, WiFi/Bluetooth, for Home/Office",$249.00,"Wed, Jan 22",$50.00 off coupon applied,2025-01-12 17:42:08
"Beelink EQR Mini PC W11 Pro, AMD Ryzen 9 6900HX(8C/16T up to 4.9 GHz), 24GB DDR5 500G NVME SSD Graphics 12 core Built in PSU WiFi 6/BT5.2/Dual Display Mini PC Computer",$349.00,"Wed, Jan 22",No coupon,2025-01-12 17:42:08
"GMKtec Gaming Mini PC K8 Plus AMD Ryzen 7 8845HS(8C/16T, up to 5.1GHz) 64GB DDR5 RAM 1TB SSD, Desktop Computer Preinstalled Windows 11 Pro Dual NIC 2.5G, HDMI 2.1, USB4",$619.98,"Wed, Jan 22",No coupon,2025-01-12 17:42:08
"TPV 16"" Laptop Computer Intel Core i5, 16GB RAM, 512GB SSD, MS Office 2024, IPS(1920 x 1200) 16:10 Display, Windows 11 Pro Notebook PC with BT5.0 Wi-Fi, 3xUSB A, HDMI, RJ45, Backlit Keyboard, Gray",$329.00,"Wed, Jan 22",No coupon,2025-01-12 17:42:08
"Laptop, 12GB LPDDR5 RAM, 1TB SSD, 15.6 Inch Laptop Computer, Win 11 Pro, N95 Quad Core Processor, Up to 3.4GHz, Preinstall Office Pro Plus 2024, WiFi 5, BT 5.0, USB-C, Webcam, Fingerprint",$299.00,"Wed, Jan 22",No coupon,2025-01-12 17:42:08
