Title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors,Collection Date
HP GeForce GTX 1060 3 GB 909616-001 Graphics Card - Fully Tested - Free Shipping,$49.00 ,HP,3 GB,N/A,NVIDIA GeForce GTX 1060,N/A,2/1/2025 17:56
MSI NVIDIA GeForce GTX 1060 6GB GDDR5 Graphics Card - GTX 1060 GAMING X 6G,$80.00 ,MSI,6 GB,GDDR5,NVIDIA GeForce GTX 1060,"DisplayPort, DVI-D, HDCP, HDMI",2/1/2025 17:56
XFX R7-360P-2S V2.0 Graphics Card Core Radeon R7 360 2GB D5 DP HDMI - Tested,$20.99 ,XFX,N/A,N/A,R7-360P-2S V2.0,N/A,2/1/2025 17:56
NVIDIA GeForce GTX Titan X 12GB GDDR5 Pascal Graphics Card 900-1G611-2500-000,$159.99 ,NVIDIA,12GB,GDDR5,NVIDIA GeForce GTX TITAN X,1x DVI / 1x HDMI / 3x Display Port,2/1/2025 17:56
"NVidia RTX T1000, 8GB Graphics Card",$242.00 ,Lenovo,N/A,N/A,Quadro T1000,N/A,2/1/2025 17:56
AMD Radeon RX 550 4GB GDDR5 PCIe DP 2 x Mini DP Low Profile Graphics Card,$41.99 ,Dell,4 GB,DDR5,AMD Radeon RX 550,N/A,2/1/2025 17:56
MSI GeForce RTX 4060 Ventus 2X Black OC GDDR6 8GB Graphics Card,US $285.00,N/A,N/A,N/A,N/A,N/A,2/1/2025 17:56
HP AMD Radeon RX 6400 4GB GPU M99977-001 Video Graphics Card,$109.99 ,HP,4 GB,N/A,AMD RX 6400,N/A,2/1/2025 17:56
YESTON RX 6400 RX6400 4GB GDDR6 Graphics Card,$139.80 ,YESTYON,N/A,N/A,AMD RX 6400,N/A,2/1/2025 17:56
Lenovo Nvidia GeForce RTX 4070 12GB GDDR6X Graphics Card - FRU 5V11K41524,$549.94 ,Lenovo,12 GB,GDDR6X,NVIDIA GeForce RTX 4070,"DisplayPort, HDMI",2/1/2025 17:56
"AMD Radeon Instinct Mi50 Accelerator 16GB HBM2  Machine Learning, HPC,  AI, GPU",$110.00 ,AMD,16 GB,HBM2,AMD Instinct Mi50,N/A,2/1/2025 17:56
Open Box Gigabyte NVIDIA GTX 1660 Super Windforce  OC 6GB GDRR6 Graphics Card,$116.91 ,Graphics,6 GB,GDDR6,NVIDIA GeForce GTX 1660 Super,"DisplayPort, HDMI",2/1/2025 17:56
PNY GeForce RTX 2060 Blower - Graphics card - GF RTX 2060 - 6 GB,$75.65 ,PNY,6 GB,GDDR6,NVIDIA GeForce RTX 2060,N/A,2/1/2025 17:56
NEW PNY GeForce GTX 460 XLR8 Enthusiast Edition 1GB GDDR5 PCIE Graphics Card,$29.99/ea,PNY,1 GB,GDDR5,NVIDIA GeForce GTX 460,"DVI, DVI-D, mini-HDMI",2/1/2025 17:56
SAPPHIRE Pulse Radeon RX 580 8GB GDDR5 Graphics Card,$90.78 ,SAPPHIRE,8 GB,GDDR5,SAPPHIRE Pulse Radeon RX 580,"DisplayPort, DVI-D, HDMI",2/1/2025 17:56
Sapphire AMD Radeon RX 480 Nitro+ 8GB Graphics Card,$68.17 ,SAPPHIRE,8 GB,GDDR5,AMD Sapphire Radeon RX 480 Nitro+,"DisplayPort, DVI, HDMI",2/1/2025 17:56
Dell AMD Radeon Pro W6600 8GB GDDR6 PCI-E 4.0 X16 Graphics Card w/ 4x DP XCV9V,$184.97 ,Dell,8 GB,GDDR6,XCV9V,N/A,2/1/2025 17:56
RB AMD Radeon Pro WX9100 16GB HBM2 PCIe Video Graphics Card 6x Mini DisplayPort,$299.99 ,AMD,16 GB,HBM2,Radeon Pro WX 9100,6x Mini DisplayPort,2/1/2025 17:56
Dell NDRG5 AMD Radeon RX 550 4GB GDDR5 Graphics Card,$40.00 ,Dell,4 GB,GDDR5,AMD Radeon RX 550,"DisplayPort, DVI, HDMI",2/1/2025 17:56
RX 580 8gb,$57.00 ,Showkings,8 GB,GDDR5,AMD Radeon RX 580,"HDMI, DisplayPort",2/1/2025 17:56
MLLSE AMD RX 550 4GB Graphics Card GDDR5 128Bit DVI HDMI DP PCI-E 3.0 Radeon GPU,AU $150.20,N/A,N/A,N/A,N/A,N/A,2/1/2025 17:56
(FOR PARTS ONLY) NVIDIA Tesla K80 24GB GDDR5 Graphics Card (900-22080-0000-000),$20.00/ea,NVIDIA,24 GB,GDDR5,NVIDIA Tesla K80,N/A,2/1/2025 17:56
NVIDIA Quadro P1000 4GB GDDR5 Graphics Card,$17.19 ,NVIDIA,4 GB,GDDR5,NVIDIA Quadro,"DisplayPort, Mini DisplayPort",2/1/2025 17:56
"GIGABYTE Radeon RX 7700 XT GAMING OC 12G Graphics Card, 3x WINDFORCE Fans 12GB 1",$429.49 ,GIGABYTE,12 GB,GDDR6,AMD Radeon RX 7700 XT,"DisplayPort, HDMI",2/1/2025 17:56
EVGA Nvidia GeForce GTX 780Ti GDDR5 PCI Express Graphics Card 03G-P4-2881-KR,$52.97 ,EVGA,3 GB,GDDR5,Nvidia GeForce GTX 780Ti,"DisplayPort, DVI, DVI-D, DVI-I, HDMI",2/1/2025 17:56
Nvidia GTX 980 Ti 6GB GPU Graphics Card Gaming PC Used,US $84.97,N/A,N/A,N/A,N/A,N/A,2/1/2025 17:56
GIGABYTE RTX 3070 Gaming OC 8G GV-N3070GAMING OC-8GD Graphics Card,$154.50 ,GIGABYTE,N/A,N/A,NVIDIA GeForce RTX 3070,N/A,2/1/2025 17:56
ASUS TUF GeForce RTX 3070 OC 8GB GDDR6 Graphics Card,$270.00 ,ASUS,8 GB,GDDR6,NVIDIA GeForce RTX 3070,"DisplayPort, HDMI",2/1/2025 17:56
